Wavenumber,30,20,15,10,5,2,1,0,,,30,20,15,10,5,2,1,0,"10 pts SG smooth of ""30""","10 pts SG smooth of ""20""","10 pts SG smooth of ""15""","10 pts SG smooth of ""10""","10 pts SG smooth of ""5""","10 pts SG smooth of ""2""","10 pts SG smooth of ""1""","10 pts SG smooth of ""0"""
2233.15,0.0366578,0.0376552,0.0391696,0.0404011,0.0398805,0.0359316,0.0334403,0.0229087,,,0.0366533428571428,0.0376304114285714,0.0391627342857143,0.0403694371428571,0.0399021,0.0359128714285714,0.0334058257142857,0.0229305314285714,0.0365920237762238,0.0374700748251748,0.0390046095571095,0.0400778228438228,0.0397393993006993,0.0356803477855478,0.0331209363636364,0.0230063955710956
2234.11,0.0366414,0.0375327,0.0393271,0.0402541,0.0397239,0.0355655,0.0334378,0.0229578,,,0.0366505114285714,0.0375309857142857,0.0393158714285714,0.04026904,0.0397237371428571,0.0355806628571428,0.0334332657142857,0.0229824514285714,0.0365134997668998,0.0374763326340326,0.039029831002331,0.0401909009324009,0.0397092463869464,0.0356392916083916,0.033281668997669,0.02306488997669
2235.08,0.0365336,0.0373413,0.0391863,0.0400511,0.0394743,0.0352737,0.0332951,0.0231851,,,0.0365138685714286,0.0373526742857143,0.0391632085714286,0.0400766257142857,0.0394592485714286,0.0352960628571428,0.0333080514285714,0.0231644514285714,0.0363829037296037,0.0374834745920746,0.0389626121212121,0.0401737237762238,0.0395151160839161,0.0355450428904429,0.0334560529137529,0.0231258498834499
2236.04,0.0362377,0.0372507,0.0387555,0.0399485,0.0391361,0.0352364,0.0332734,0.0233223,,,0.0362169057142857,0.0372691371428571,0.0387521314285714,0.0399356771428571,0.0391409257142857,0.0352405142857143,0.0332931057142857,0.0233018228571429,0.0362547895104895,0.037412903030303,0.0387994811188811,0.0400391715617716,0.0392692972027972,0.035451737995338,0.0335834573426573,0.0232263566433566
2237.01,0.0358872,0.0372979,0.0383124,0.0398049,0.0388893,0.0353729,0.0334828,0.023342,,,0.0359238942857143,0.0373043285714286,0.0383501485714286,0.0397960885714286,0.0389145942857143,0.03537068,0.0335004657142857,0.0233556371428571,0.0361339321678322,0.0372216599067599,0.0385586442890443,0.0398268927738928,0.039037948951049,0.0354056081585081,0.0336081319347319,0.0233858657342657
2237.97,0.0358582,0.0373048,0.038174,0.0396285,0.0388576,0.0355545,0.0338035,0.0234557,,,0.03588766,0.0372766857142857,0.0381878685714286,0.0396513342857143,0.0388619371428571,0.0355541142857143,0.0337937114285714,0.0234727742857143,0.0360507862470862,0.0369866979020979,0.0383290706293706,0.0396003356643357,0.0388429365967366,0.035445958041958,0.0335691634032634,0.0235804477855478
2238.93,0.0360987,0.0370183,0.0382169,0.0395303,0.0388696,0.0356784,0.0339096,0.0237158,,,0.03606642,0.0369849828571428,0.0381808142857143,0.0395200571428571,0.0388371228571429,0.035661,0.0338656114285714,0.0237130228571428,0.0360458291375291,0.0368227843822844,0.038187617948718,0.039422865034965,0.0387190557109557,0.0355516997668998,0.0335352664335664,0.0237680920745921
2239.9,0.036213,0.0365133,0.0381559,0.0393549,0.0387033,0.0356463,0.0335894,0.0239755,,,0.0361911257142857,0.0365259428571428,0.0381551971428571,0.03932148,0.0386917542857143,0.0356406771428571,0.0335722828571428,0.0239641257142857,0.0361109547785548,0.036757727972028,0.0381377188811189,0.039312627972028,0.0386868543123543,0.0356308407925408,0.0335141692307692,0.0239278433566434
2240.86,0.036182,0.0362534,0.0381268,0.0390664,0.0385156,0.0355629,0.0331444,0.0241204,,,0.03620906,0.0363103571428571,0.0381623028571429,0.0390895171428571,0.0385503571428571,0.0355920514285714,0.0331918,0.0241208457142857,0.036190724009324,0.0367403438228438,0.0381589037296037,0.0392557293706294,0.0387026181818182,0.0356176326340326,0.0334713713286713,0.0240385745920746
2241.83,0.0362418,0.0365547,0.0382736,0.0390188,0.0385981,0.0355985,0.0330758,0.0241688,,,0.0362557285714286,0.0365755028571429,0.0382558828571429,0.0390601142857143,0.0386177028571428,0.0355967942857143,0.0331094428571429,0.0241752457142857,0.0362188855477855,0.036731879020979,0.0382229435897436,0.0392417708624709,0.0386992916083916,0.0355345592074592,0.0333912207459207,0.0240632848484848
